物料号(母件),产品名称,组件号(子件),材料名称,产线,材料用量,废料系数
10000049,中控台蒙皮总成,10000050,双面胶带,A1,22.62,0.02
10000049,中控台蒙皮总成,10000051,EPDM密封条,A1,18.44,0.05
10000049,中控台蒙皮总成,10000052,铝箔隔热层,A1,45.05,0.02
10000049,中控台蒙皮总成,10000053,中控台总成(半),A1,1.0,0.0
10000053,中控台总成(半),10000054,弹簧夹,A1,36.22,0.03
10000053,中控台总成(半),10000055,金属嵌件,A1,46.58,0.03
10000053,中控台总成(半),10000056,植绒面料,A1,20.6,0.02
10000053,中控台总成(半),10000043,中控台总成,A1,1.0,0.0
10000057,立柱饰板总成,10000058,立柱基板,A2,1.0,0.0
10000058,立柱基板,10000059,PP蜂窝板,A2,32.45,0.02
10000058,立柱基板,10000060,玻纤增强PP,A2,33.38,0.05
10000058,立柱基板,10000061,PA66+GF30粒子,A2,25.98,0.02
10000058,立柱基板,10000062,POM聚甲醛,A2,49.9,0.03
10000058,立柱基板,10000063,立柱包覆层,A2,1.0,0.0
10000063,立柱包覆层,10000064,吸音棉,A2,13.64,0.01
10000063,立柱包覆层,10000065,PE发泡垫块,A2,14.39,0.04
10000063,立柱包覆层,10000066,热熔胶膜,A2,41.68,0.03
10000063,立柱包覆层,10000067,立柱饰板总成(半),A2,1.0,0.0
10000067,立柱饰板总成(半),10000068,针织面料,A2,12.54,0.03
10000067,立柱饰板总成(半),10000069,编织地毯面料,A2,49.84,0.03
10000067,立柱饰板总成(半),10000070,自攻螺钉,A2,48.84,0.04
10000067,立柱饰板总成(半),10000057,立柱饰板总成,A2,1.0,0.0
10000071,行李箱饰板总成,10000072,行李箱底板,A3,1.0,0.0
10000072,行李箱底板,10000073,PP+EPDM-TD20粒子,A3,10.46,0.04
10000072,行李箱底板,10000074,ABS树脂,A3,37.27,0.03
10000072,行李箱底板,10000075,PC/ABS合金料,A3,20.67,0.04
10000072,行李箱底板,10000076,滑石粉填充PP,A3,14.46,0.03
10000072,行李箱底板,10000077,行李箱饰面层,A3,1.0,0.0
10000077,行李箱饰面层,10000078,无纺布,A3,28.15,0.05
10000077,行李箱饰面层,10000079,双面胶带,A3,45.03,0.02
10000077,行李箱饰面层,10000080,EPDM密封条,A3,30.02,0.02
10000077,行李箱饰面层,10000081,行李箱饰板总成(半),A3,1.0,0.0
10000081,行李箱饰板总成(半),10000082,卡扣,A3,46.51,0.04
10000081,行李箱饰板总成(半),10000083,弹簧夹,A3,21.94,0.04
10000081,行李箱饰板总成(半),10000084,金属嵌件,A3,34.36,0.02
10000081,行李箱饰板总成(半),10000071,行李箱饰板总成,A3,1.0,0.0
10000085,地毯总成,10000086,地毯基材,A1,1.0,0.0
10000086,地毯基材,10000087,TPO表皮材料,A1,40.5,0.03
10000086,地毯基材,10000088,PVC搪塑粉料,A1,41.15,0.03
10000086,地毯基材,10000089,PP蜂窝板,A1,10.02,0.02
10000086,地毯基材,10000090,玻纤增强PP,A1,10.78,0.05
10000086,地毯基材,10000091,地毯覆面层,A1,1.0,0.0
10000091,地毯覆面层,10000092,铝箔隔热层,A1,45.15,0.04
10000091,地毯覆面层,10000093,吸音棉,A1,22.3,0.01
10000091,地毯覆面层,10000094,PE发泡垫块,A1,45.12,0.05
10000091,地毯覆面层,10000095,地毯总成(半),A1,1.0,0.0
10000095,地毯总成(半),10000096,植绒面料,A1,13.43,0.03
10000095,地毯总成(半),10000097,针织面料,A1,12.77,0.04
10000095,地毯总成(半),10000098,编织地毯面料,A1,40.63,0.02
10000095,地毯总成(半),10000085,地毯总成,A1,1.0,0.0
10000099,天窗遮阳板总成,10000100,遮阳板骨架,A2,1.0,0.0
10000100,遮阳板骨架,10000101,PA66+GF30粒子,A2,29.01,0.03
10000100,遮阳板骨架,10000102,POM聚甲醛,A2,20.6,0.04
10000100,遮阳板骨架,10000103,PP+EPDM-TD20粒子,A2,26.93,0.02
10000100,遮阳板骨架,10000104,ABS树脂,A2,31.57,0.04
10000100,遮阳板骨架,10000105,遮阳板包覆层,A2,1.0,0.0
10000105,遮阳板包覆层,10000106,热熔胶膜,A2,18.05,0.02
10000105,遮阳板包覆层,10000107,无纺布,A2,49.81,0.04
10000105,遮阳板包覆层,10000108,双面胶带,A2,27.52,0.03
10000105,遮阳板包覆层,10000109,遮阳板总成(半),A2,1.0,0.0
10000109,遮阳板总成(半),10000110,自攻螺钉,A2,14.84,0.02
10000109,遮阳板总成(半),10000111,卡扣,A2,23.52,0.03
10000109,遮阳板总成(半),10000112,弹簧夹,A2,19.2,0.02
10000109,遮阳板总成(半),10000099,天窗遮阳板总成,A2,1.0,0.0
10000113,轮罩饰板总成,10000114,轮罩基体,A3,1.0,0.0
10000114,轮罩基体,10000115,PC/ABS合金料,A3,12.84,0.04
10000114,轮罩基体,10000116,滑石粉填充PP,A3,19.16,0.05
10000114,轮罩基体,10000117,TPO表皮材料,A3,44.39,0.01
10000114,轮罩基体,10000118,PVC搪塑粉料,A3,19.52,0.04
10000114,轮罩基体,10000119,轮罩隔音层,A3,1.0,0.0
10000119,轮罩隔音层,10000120,EPDM密封条,A3,18.57,0.02
10000119,轮罩隔音层,10000121,铝箔隔热层,A3,47.42,0.03
10000119,轮罩隔音层,10000122,吸音棉,A3,28.91,0.04
10000119,轮罩隔音层,10000123,轮罩饰板总成(半),A3,1.0,0.0
10000123,轮罩饰板总成(半),10000124,金属嵌件,A3,42.3,0.02
10000123,轮罩饰板总成(半),10000125,植绒面料,A3,13.88,0.03
10000123,轮罩饰板总成(半),10000126,针织面料,A3,26.94,0.03
10000123,轮罩饰板总成(半),10000113,轮罩饰板总成,A3,1.0,0.0
10000127,发动机底护板,10000128,底护板基体,A1,1.0,0.0
10000128,底护板基体,10000129,PP蜂窝板,A1,39.16,0.04
10000128,底护板基体,10000130,玻纤增强PP,A1,49.37,0.01
10000128,底护板基体,10000131,PA66+GF30粒子,A1,26.1,0.02
10000128,底护板基体,10000132,POM聚甲醛,A1,44.47,0.02
10000128,底护板基体,10000133,底护板隔音层,A1,1.0,0.0
10000133,底护板隔音层,10000134,PE发泡垫块,A1,17.61,0.03
10000133,底护板隔音层,10000135,热熔胶膜,A1,26.88,0.02
10000133,底护板隔音层,10000136,无纺布,A1,19.99,0.05
10000133,底护板隔音层,10000137,发动机底护板(半),A1,1.0,0.0
10000137,发动机底护板(半),10000138,编织地毯面料,A1,27.73,0.04
10000137,发动机底护板(半),10000139,自攻螺钉,A1,32.01,0.01
10000137,发动机底护板(半),10000140,卡扣,A1,49.97,0.04
10000137,发动机底护板(半),10000127,发动机底护板,A1,1.0,0.0
